
/*Project: 			hashly*/
/*File description: A list of file formats currently recognized by the application. To automatically parse this data 
					into a handy batch of (individual) SQL INSERT statements, run the 'file_types2sql.py' script.*/
/*Author:			Priidu Neemre (priidu@neemre.com)*/
/*Last modified: 	15:45 6.10.2014*/


.3dm			OpenNURBS Initiative 3D model
.3ds			3ds Max scene file (legacy)
.3g2			3GPP2 multimedia file
.3gp			3GPP multimedia file
.7z				7-Zip compressed archive
.accdb			Microsoft Access database
.accde			Microsoft Access database (execute only)
.accdr			Microsoft Access database (read-only)
.accdt			Microsoft Access database template
.ace			ACE compressed archive
.adb			Ada source code file (body)
.ads			Ada source code file (specification)
.ai				Adobe Illustrator Artwork
.aif			Audio Interchange File Format
.aiff			Audio Interchange File Format
.apk			Android software package
.app			Mac OS X application
.as				ActionScript source code file
.asf			Advanced Systems Format file
.asm			Assembly source code file
.asp			Active Server Page
.aspx			Active Server Page (.NET)
.asx			Advanced Stream Redirector file
.au				Basic audio file
.avi			Audio Video Interleaved file
.bak			Backup file (generic)
.bat			Batch file (MS-DOS)
.bin			Binary disc image
.bmp			Bitmap image file
.bup			Backup file (generic)
.c				C/C++ source code file
.cab			Cabinet compressed archive
.cbl			COBOL source code file
.cbr			Comic Book Archive
.cda			CD audio track shortcut
.cdl			CADKEY Design Language file
.cdr			CorelDRAW image file
.cer			Internet Security Certificate
.cfg			Configuration file (generic)
.cfm			ColdFusion Markup Language file
.cfml			ColdFusion Markup Language file
.cgi			Common Gateway Interface script file
.chm			Microsoft Compiled HTML Help
.class			Java compiled file
.clj			Clojure source code file
.com			Command file (MS-DOS)
.cpl			Control Panel Applet
.cpp			C++ source code file
.crdownload		Google Chrome/Chromium partially downloaded file
.crx			Google Chrome/Chromium extension
.cs				C# source code file
.csk			ClarisWorks document (Windows)
.csr			Certificate Signing Request
.css			Cascading Style Sheet
.csv			Comma-Separated Values file
.cue			Cue sheet file
.cur			Windows Cursor Image
.cvs			Canvas image file
.d				D source code file
.dart			Dart source code file
.dat			Data file (generic)
.db				Database file (generic)
.dbf			Database file (generic)
.dcu			Delphi compiled file
.dds			DirectDraw Surface file
.deb			Debian software package
.dem			Video game demo file (generic)
.deskthemepack	Windows 8 desktop theme pack
.dif			Data Interchange Format file
.diff			Difference file (generic)
.disc			Roxio Toast document
.divx			DivX-encoded multimedia file
.dll			Dynamic Link Library
.dmg			Apple disk image
.dmp			Windows memory dump
.doc			Microsoft Word document (legacy)
.docb			Microsoft Word binary document
.docm			Microsoft Word document (macro-enabled)
.docx			Microsoft Word document
.dot			Microsoft Word document template (legacy)
.dotm			Microsoft Word document template (macro-enabled)
.dotx			Microsoft Word document template
.drv			Driver file (generic)
.dss			Digital Speech Standard audio file
.dtd			Document Type Definition file
.dvf			Sony Digital Voice File
.dwg			AutoCAD Drawing Database
.dxf			AutoCAD Drawing Exchange Format file
.eml			Email message file (generic)
.eps			Encapsulated PostScript file
.erl			Erlang source code file
.err			Error log file (generic)
.exe			Executable file (Windows)
.f				Fortran source code file
.fla			Adobe Flash animation
.flv			Flash Video file
