
/*Project: 			hashly*/
/*File description: A list of file formats currently recognized by the application. To automatically parse this data 
					into a handy batch of (individual) SQL INSERT statements, run the 'file_types2sql.py' script.*/
/*Author:			Priidu Neemre (priidu@neemre.com)*/
/*Last modified: 	15:45 6.10.2014*/


.3dm			OpenNURBS Initiative 3D Model
.3ds			Legacy 3D Studio Model
.3g2			3GPP2 multimedia file
.3gp			3GPP multimedia file
.7z				7-Zip compressed archive
.groovy			Groovy source code file
.f				Fortran source code file
.scm			Scheme source code file
.hs				Haskell source code file
.accdb			Microsoft Access database
.accde			Microsoft Access database (execute only)
.accdr			Microsoft Access database (read-only)
.accdt			Microsoft Access database template
.ace			ACE compressed archive
.ai				Adobe Illustrator Artwork
.aif			Audio Interchange File Format
.aiff			Audio Interchange File Format
.apk			Android software package
.app			Mac OS X Application
.asf			Advanced Systems Format
.asp			Active Server Page
.aspx			Active Server Page (.NET)
.asx			Advanced Stream Redirector
.au				Basic audio file
.avi			Audio Video Interleaved
.bak			Backup file (generic)
.bat			Batch file (MS-DOS)
.bin			Binary disc image
.bmp			Bitmap image file
.bup			Backup file (generic)
.c				C/C++ source code file
.cab			Cabinet compressed archive
.cbr			Comic Book Archive
.cda			CD audio track shortcut
.cdl			CADKEY Design Language
.cdr			CorelDRAW image file
.cer			Internet Security Certificate
.cfg			Configuration file
.cfm			ColdFusion Markup Language
.cfml			ColdFusion Markup Language
.cgi			Common Gateway Interface Script
.chm			Microsoft Compiled HTML Help
.class			Java compiled file
.com			Command file (MS-DOS)
.cpl			Control Panel Applet
.pas			Delphi source code file
.dart			Dart source code file
.sb				Scratch project
.pro			Prolog source code file
.sb2			Scratch 2.0 project
.dcu			Delphi compiled file
.cpp			C++ source code file
.crdownload		Google Chrome/Chromium partially downloaded file
.crx			Chrome Extension
.cs				C# source code file
.wmf			Windows Metafile
.jtt			Ichitaro 8/9/10/11 document
.jtd			Ichitaro 8/9/10/11 document
.uot			Uniform Office Document
.uop			Uniform Office Presentation
.uos			Uniform Office Spreadsheet
.uof			Uniform Office Format
.csk			ClarisWorks document (Windows)
.csr			Certificate Signing Request
.css			Cascading Style Sheet
.csv			Comma-Separated Values
.cue			Cue sheet
.cur			Windows Cursor Image
.cvs			Canvas image file
.dat			Data file (generic)
.db				Database file (generic)
.dbf			Database file (generic)
.dds			DirectDraw Surface
.deb			Debian software package
.dem			Video game demo file (generic)
.deskthemepack	Windows 8 Desktop Theme Pack
.dif			Data Interchange Format
.divx			DivX-encoded multimedia file
.dll			Dynamic Link Library
.dmg			Apple Disk Image
.dmp			Windows Memory Dump
.doc			Microsoft Word document (legacy)
.docx			Microsoft Word document
.docm			Microsoft Word document (macro-enabled)
.docb			Microsoft Word binary document
.dot			Microsoft Word template (legacy)
.dotx			Microsoft Word template
.dotm			Microsoft Word template (macro-enabled)
.drv			Driver file (generic)
.dss			Digital Speech Standard audio file
.dtd			Document Type Definition
.dvf			Sony Digital Voice File
.dwg			AutoCAD Drawing Database
.dxf			AutoCAD Drawing Exchange Format
.eml			Email message file
.eps			Encapsulated PostScript
.exe			Executable file (Windows)
.fla			Adobe Flash Animation
.flv			Flash Video
.fm3			Lotus 1-2-3 spreadsheet format
.fnt			Font file
.fon			Font file (legacy)
.gadget			Windows Gadget
.gam			Video game save file (generic)
.gbr			Gerber design file
.ged			GEDCOM Genealogy Data
.hrl			Erlang header file
.sll			Static link library
.clj			Clojure source code file
.rs				Rust source code file
.scala			Scala source code file
.gif			Graphical Interchange Format
.gpx			GPS Exchange Format
.gz				Gzip compressed archive
.h				C/C++/Objective-C header file
.hqx			BinHex 4 compressed archive
.htm			Hypertext Markup Language
.html			Hypertext Markup Language
.icns			Apple Icon Image
.ico			Icon image file
.ics			iCalendar calendar file
.ical			iCalendar calendar file
.icalendar		iCalendar calendar file
.iff			Interchange File Format
.ifo			DVD metadata file
.indd			Adobe InDesign Document
.ini			Initialization/configuration file (Windows)
.iso			ISO-9660 disc image
.jar			Java compressed archive
.java			Java source code file
.jpg			JPEG image file
.jif			JPEG Interchange Format
.js				JavaScript source code file
.jsp			Java Server Page
.key			Software license key file
.keychain		Mac OS X Keychain
.kml			Keyhole Markup Language
.kmz			KML compressed archive
.lnk			File/folder shortcut (Windows)
.log			Log file (generic)
.lua			Lua source code file
.m				MATLAB source code file
.mm				Objective-C++ source code file
.m3u			Media playlist file
.m4a			MPEG-4 Audio Layer
.m4p			iTunes audio file
.m4v			iTunes multimedia file
.mac			MacPaint image file
.map			Video game map file (generic)
.max			3ds Max scene file
.3ds			3ds Max scene file (legacy)
.prj			Project file (generic)
.mcd			MathCad document
.mdb			Microsoft Access database (legacy)
.mdf			Media Descriptor File
.mid			MIDI audio file
.midi			MIDI audio file
.mim			Multi-Purpose Internet Mail Extensions
.mov			Apple QuickTime multimedia file
.mp2			MPEG-1/2 Layer II audio file
.mp3			MPEG-1/2 Layer III audio file
.mp4			MPEG-4 multimedia file
.mpa			MPEG-2 Layer II audio file
.mpg			MPEG-1/2 multimedia file
.msg			Outlook email message file
.msi			Windows installer package
.mswmm			Windows Movie Maker project 
.mtb			MiniTab macro file
.mtj			MiniTab project
.nes			Nintendo (N64) ROM image
.obj			Wavefront 3D Object
.odt			OpenDocument Text
.ott			OpenDocument Text Template
.odm			OpenDocument Master Document
.ods			OpenDocument Spreadsheet
.ots			OpenDocument Spreadsheet Template
.odg			OpenDocument Drawing
.otg			OpenDocument Drawing Template
.odp			OpenDocument Presentation
.otp			OpenDocument Presentation Template
.odf			OpenDocument Formula
.odb			OpenDocument Database
.oxt			Apache OpenOffice/LibreOffice extension file
.sdw			StarOffice Writer document (legacy)
.sxw			StarOffice Writer document
.sdc			StarOffice Calc spreadsheet (legacy)
.sxc			StarOffice Calc spreadsheet
.sdd			StarOffice Impress presentation (legacy)
.sxi			StarOffice Impress presentation
.sda			StarOffice Draw project (legacy)
.sxd			StarOffice Draw project
.sdb			StarOffice Base database (legacy)
.smf			StarOffice Math formula (legacy)
.sxm			StarOffice Math formula
.ogg			Ogg Vorbis audio file
.otf			OpenType Font
.pages			Apple Pages document
.part			Partially downloaded file
.pct			Apple Macintosh image file (legacy)
.pdb			Program database file
.pdf			Portable Document Format
.php			PHP source code file
.pif			Program Information File
.pkg			Apple installer package
.pl				Perl source code file
.plugin			Plugin file (generic)
.png			Portable Network Graphic
.pps			Microsoft PowerPoint Slideshow (legacy)
.ppsx			Microsoft PowerPoint Slideshow
.ppsm			Microsoft PowerPoint Slideshow (macro-enabled)
.ppt			Microsoft PowerPoint Presentation (legacy)
.pptx			Microsoft PowerPoint Presentation
.pptm			Microsoft PowerPoint Presentation (macro-enabled)
.pot			Microsoft PowerPoint Template (legacy)
.potx			Microsoft PowerPoint Template
.potm			Microsoft PowerPoint Template (macro-enabled)
.sldx			Microsoft PowerPoint slide
.sldm			Microsoft PowerPoint slide (macro-enabled)
.prf			Microsoft Outlook profile file
.ps				PostScript source code file
.psd			Adobe Photoshop Document
.psp			PaintShop Pro image file (legacy)
.one			Microsoft OneNote document
.pspimage		PaintShop Pro image file
.pst			Microsoft Personal Storage Table
.pab			Microsoft Personal Address Book
.ost			Microsoft Offline Storage Table
.oab			Microsoft Offline Address Book
.ptb			Power Tab project
.pub			Microsoft Publisher document
.py				Python source code file
.qbb			QuickBooks Backup
.qbw			QuickBooks data file (Windows)
.qt				Apple QuickTime multimedia file
.qxd			QuarkXpress Document
.ra				RealAudio container file
.rv				RealVideo container file
.ram			RealAudio metadata file
.rar			WinRAR compressed archive
.xsd			XML Schema Definition
.xslt			Extensible Stylesheet Language Transformations
.xsl			Extensible Stylesheet Language
.wadl			Web Application Description Language
.wsdl			Web Services Description Language
.xsn			Microsoft InfoPath form template file
.rm				RealMedia container file
.rmvb			RealMedia Variable Bitrate container file
.rom			Read-only memory image (generic)
